TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Diagnóstico
Período:2001-2024
"Município de notificação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"353890 PIRAJUI";10;10;9;7;7;13;41;27;33;33;42;78;50;51;59;65;74;78;48;21;31;41;35;42;905
"353900 PIRANGI";1;1;-;1;1;-;-;-;1;-;-;1;2;1;-;-;1;-;3;1;3;4;2;2;25
"353910 PIRAPORA DO BOM JESUS";8;1;5;1;4;7;10;7;4;3;11;9;8;7;4;9;6;6;8;4;5;5;13;21;166
"353920 PIRAPOZINHO";4;2;3;5;6;3;4;1;10;2;4;6;2;7;5;4;7;1;4;3;10;9;6;7;115
"353930 PIRASSUNUNGA";31;30;23;19;33;16;26;31;17;21;28;30;17;28;16;22;21;24;21;16;13;24;16;22;545
"353940 PIRATININGA";1;1;-;1;-;-;-;-;1;-;1;3;3;1;1;4;3;1;2;2;3;5;2;3;38
"353950 PITANGUEIRAS";8;5;8;7;-;4;3;12;10;3;6;11;10;8;9;7;11;11;12;4;5;12;10;11;187
"353960 PLANALTO";3;2;-;-;-;-;-;-;-;-;-;1;1;1;1;2;1;-;3;4;2;-;-;1;22
"353970 PLATINA";-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;1;-;1;1;-;2;3;1;12
"353980 POA";63;47;48;50;40;32;34;23;36;47;45;35;28;36;33;28;44;43;40;49;41;45;58;55;1000
"353990 POLONI";1;-;4;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;1;1;2;-;-;-;14
"354000 POMPEIA";3;1;-;1;-;-;3;5;1;-;5;4;1;2;1;5;2;1;4;3;1;6;3;2;54
"354010 PONGAI";-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;1;-;-;-;1;1;3;-;10
"354020 PONTAL";6;8;8;5;6;10;3;17;8;8;13;6;11;6;15;7;21;20;21;18;19;20;27;23;306
"354025 PONTALINDA";5;1;1;1;-;-;1;1;-;2;1;1;-;-;-;1;2;-;1;-;1;1;2;2;24
"354030 PONTES GESTAL";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;6
"354040 POPULINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;1;-;1;-;-;7
"354050 PORANGABA";1;1;-;1;2;-;1;-;-;-;3;-;-;-;1;2;2;1;-;-;2;1;2;2;22
"354060 PORTO FELIZ";16;12;14;8;13;7;8;10;4;8;17;13;10;10;22;52;44;39;34;23;22;37;28;40;491
"354070 PORTO FERREIRA";22;17;22;20;11;12;11;12;13;9;14;14;11;3;7;8;10;8;8;7;8;9;9;8;273
"354075 POTIM";-;2;1;2;5;45;24;40;63;79;83;86;79;75;42;72;91;64;56;69;56;45;41;35;1155
"354080 POTIRENDABA";-;-;-;1;2;1;1;1;3;2;2;-;3;3;2;-;1;4;3;2;5;5;1;1;43
"354085 PRACINHA";-;-;-;-;2;7;12;10;9;10;8;14;9;15;32;34;16;15;18;15;16;16;8;11;277
"354090 PRADOPOLIS";1;3;-;2;2;3;1;2;2;-;1;-;-;1;-;-;1;-;1;1;5;2;2;2;32
"354100 PRAIA GRANDE";178;169;161;187;191;204;224;251;193;282;270;277;279;310;284;293;343;304;441;344;324;389;431;453;6782
"354105 PRATANIA";1;1;-;2;-;-;-;-;-;1;1;1;-;-;-;2;3;2;-;-;-;1;-;1;16
"354110 PRESIDENTE ALVES";-;-;-;-;1;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;4;1;2;12
"354120 PRESIDENTE BERNARDES";4;-;1;1;5;14;14;17;7;6;6;30;44;48;57;49;88;53;29;32;26;33;27;35;626
"354130 PRESIDENTE EPITACIO";4;12;11;16;9;10;7;8;8;7;13;11;14;9;5;9;10;8;9;9;7;12;20;10;238
"354140 PRESIDENTE PRUDENTE";76;117;81;67;81;74;93;85;74;85;82;112;92;67;73;117;67;119;114;79;63;83;95;85;2081
"354150 PRESIDENTE VENCESLAU";6;8;3;9;3;18;8;20;12;18;17;17;15;13;19;17;25;23;9;15;14;9;12;13;323
"354160 PROMISSAO";11;18;7;6;9;8;3;4;5;9;5;7;2;20;13;3;5;10;10;5;1;4;6;7;178
"354165 QUADRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;4
"354170 QUATA";2;4;3;2;-;-;3;3;-;1;2;1;3;2;1;2;2;-;4;3;-;1;1;2;42
"354180 QUEIROZ";-;1;1;-;1;1;1;-;1;-;1;-;-;-;-;1;1;-;-;-;1;1;-;-;11
"354190 QUELUZ";3;5;2;2;-;2;-;2;8;4;5;4;4;2;1;3;1;-;2;1;-;-;4;3;58
"354200 QUINTANA";-;-;2;-;-;-;-;2;-;1;1;1;1;1;1;1;-;1;2;1;-;1;5;2;23
"354210 RAFARD";2;1;3;3;1;3;1;3;1;3;3;2;1;1;1;-;1;3;2;-;4;-;4;3;46
"354220 RANCHARIA";10;15;9;8;7;11;10;13;11;10;9;7;11;9;5;8;12;6;7;7;5;6;13;9;218
"354230 REDENCAO DA SERRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;1;6
"354240 REGENTE FEIJO";-;2;2;2;1;1;-;4;6;1;4;-;3;6;3;3;3;1;6;2;1;2;4;1;58
"354250 REGINOPOLIS";2;1;1;-;4;18;20;14;21;13;8;31;11;14;19;18;30;23;31;18;22;23;26;25;393
"354260 REGISTRO";28;21;14;28;19;14;14;19;13;29;31;34;44;31;28;29;40;38;41;47;78;69;75;81;865
"354270 RESTINGA";-;-;-;-;-;-;-;-;-;3;1;-;1;1;-;-;-;-;1;-;2;4;-;-;13
"354280 RIBEIRA";1;1;1;-;-;-;1;1;2;2;1;-;2;2;1;-;2;-;2;-;-;2;-;5;26
"354290 RIBEIRAO BONITO";-;1;2;-;-;-;2;2;2;6;1;1;2;-;1;-;4;1;2;1;2;2;2;4;38
"354300 RIBEIRAO BRANCO";1;2;1;4;-;1;2;2;1;1;-;-;-;1;2;1;2;4;4;2;2;4;5;6;48
"354310 RIBEIRAO CORRENTE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
"354320 RIBEIRAO DO SUL";1;-;-;2;1;-;-;-;1;-;-;-;-;-;1;-;-;2;1;2;1;1;1;-;14
"354323 RIBEIRAO DOS INDIOS";-;1;-;2;-;-;-;-;-;2;-;1;1;-;1;-;-;-;1;-;-;1;1;-;11
"354325 RIBEIRAO GRANDE";1;1;1;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;2;10
"354330 RIBEIRAO PIRES";34;26;26;33;37;22;30;35;30;25;30;21;16;28;17;20;30;26;25;27;29;24;26;33;650
"354340 RIBEIRAO PRETO";228;212;183;178;198;207;242;249;263;267;300;236;310;312;307;286;252;342;227;221;192;279;309;327;6127
"354350 RIVERSUL";4;1;2;2;3;2;3;8;2;1;3;1;6;4;3;-;4;-;2;1;2;2;3;7;66
"354360 RIFAINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
"354370 RINCAO";4;6;3;2;2;3;4;-;3;4;1;4;1;-;1;1;5;1;1;1;2;1;3;-;53
"354380 RINOPOLIS";-;3;4;5;2;1;3;2;-;1;4;1;3;-;-;1;1;-;-;3;1;4;4;1;44
"354390 RIO CLARO";45;62;55;54;70;46;50;57;34;43;43;48;35;41;50;37;45;40;34;37;61;72;60;72;1191
"354400 RIO DAS PEDRAS";1;4;5;2;4;2;6;8;3;5;4;5;5;3;8;7;5;5;5;7;7;7;11;11;130
"354410 RIO GRANDE DA SERRA";10;12;20;16;5;14;17;31;20;11;10;16;13;9;4;9;18;12;17;16;4;13;12;9;318
"354420 RIOLANDIA";2;-;3;-;4;6;10;8;23;18;20;14;17;25;27;31;44;16;22;16;16;13;16;23;374
"354425 ROSANA";9;8;14;9;7;5;4;4;7;8;6;5;3;3;1;3;2;5;6;1;4;3;7;4;128
"354430 ROSEIRA";-;2;1;-;1;2;3;4;1;4;1;1;1;-;1;2;1;1;3;1;-;1;2;1;34
"354440 RUBIACEA";-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;6
"354450 RUBINEIA";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;2;-;7
"354460 SABINO";3;2;-;1;1;2;1;-;-;-;-;2;1;2;-;-;-;-;2;2;3;1;-;2;25
"354470 SAGRES";1;-;2;1;-;-;2;2;-;-;-;1;-;-;-;-;1;1;-;1;1;2;2;-;17
"354480 SALES";-;2;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;3;1;1;1;-;-;13
"354490 SALES OLIVEIRA";-;2;1;-;1;2;1;-;-;1;-;1;-;2;-;-;2;2;1;1;-;-;2;-;19
"354500 SALESOPOLIS";1;1;-;-;4;2;1;2;2;1;3;2;1;4;3;-;6;3;-;2;3;1;4;3;49
"354510 SALMOURAO";-;-;1;1;-;-;1;-;1;1;1;-;1;1;-;1;-;2;2;-;-;2;1;1;17
"354515 SALTINHO";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;2;3;1;4;3;2;-;18
"354520 SALTO";17;21;23;25;20;28;11;24;14;19;22;17;27;19;14;17;33;26;34;25;31;33;44;56;600
"354530 SALTO DE PIRAPORA";15;18;21;16;16;10;8;25;6;10;14;14;22;6;22;19;8;12;8;5;11;13;20;13;332
"354540 SALTO GRANDE";8;3;6;9;7;7;8;2;5;4;8;2;6;2;4;6;4;7;6;6;9;2;7;9;137
"354550 SANDOVALINA";-;-;-;-;-;-;-;-;1;4;-;-;1;-;1;-;1;-;1;-;-;-;-;1;10
"354560 SANTA ADELIA";-;-;1;-;-;-;-;1;1;-;-;1;-;-;3;-;-;-;4;1;1;1;2;3;19
"354570 SANTA ALBERTINA";-;-;2;-;-;-;1;1;-;-;2;-;-;-;-;1;1;2;1;-;1;-;2;-;14
"354580 SANTA BARBARA D'OESTE";21;44;23;32;33;17;27;39;33;39;41;49;30;30;34;27;25;32;42;42;29;54;45;37;825
"354600 SANTA BRANCA";-;-;-;-;-;-;-;-;1;3;1;5;2;1;1;-;6;3;5;1;-;3;3;8;43
"354610 SANTA CLARA D'OESTE";-;1;-;1;-;-;-;1;1;-;1;-;1;-;1;-;1;1;1;1;2;-;1;1;15
"354620 SANTA CRUZ DA CONCEICAO";-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;7
"354625 SANTA CRUZ DA ESPERANCA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"354630 SANTA CRUZ DAS PALMEIRAS";4;10;10;7;9;7;5;4;4;4;3;5;6;2;4;7;6;5;8;7;5;7;5;9;143
"354640 SANTA CRUZ DO RIO PARDO";9;12;10;17;7;6;4;6;5;5;10;3;6;6;9;10;12;11;7;9;8;16;17;23;228
"354650 SANTA ERNESTINA";-;-;2;-;-;-;-;-;-;-;-;-;-;3;1;-;1;2;1;2;1;-;1;1;15
"354660 SANTA FE DO SUL";5;10;1;7;7;7;2;3;3;4;4;-;5;4;4;6;6;4;6;5;4;8;6;8;119
"354670 SANTA GERTRUDES";3;4;-;2;4;2;1;-;1;6;4;8;2;11;6;4;6;5;6;1;5;2;4;8;95
"354680 SANTA ISABEL";23;11;24;7;14;20;20;13;11;14;8;26;26;15;16;23;34;28;22;22;15;18;26;31;467
"354690 SANTA LUCIA";4;-;-;-;2;-;2;4;2;5;3;2;-;1;2;-;2;-;-;-;2;-;2;-;33
"354700 SANTA MARIA DA SERRA";-;-;1;-;3;-;1;1;1;1;-;1;1;-;-;2;-;2;1;2;1;1;1;-;20
"354710 SANTA MERCEDES";-;-;-;1;-;-;3;1;1;-;-;2;2;3;-;-;2;2;-;-;-;-;-;1;18
"354720 SANTANA DA PONTE PENSA";-;-;-;2;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;1;-;-;8
"354730 SANTANA DE PARNAIBA";33;28;38;25;22;30;32;18;26;24;42;23;28;31;42;48;45;35;29;41;21;51;37;52;801
"354740 SANTA RITA D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;1;2;1;8
"354750 SANTA RITA DO PASSA QUATRO";2;9;5;4;1;2;3;2;6;-;4;7;3;7;3;1;6;7;3;2;3;2;6;5;93
"354760 SANTA ROSA DE VITERBO";5;2;8;4;-;2;2;-;-;-;-;-;-;-;-;-;3;-;1;4;1;3;5;2;42
"354765 SANTA SALETE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;4
"354770 SANTO ANASTACIO";7;8;6;5;10;6;11;9;8;13;3;4;4;12;5;9;3;6;6;5;3;8;5;2;158
"354780 SANTO ANDRE";195;206;169;197;193;216;189;216;202;225;275;257;250;251;231;271;235;250;230;230;262;259;273;259;5541
"354790 SANTO ANTONIO DA ALEGRIA";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;2;8
"354800 SANTO ANTONIO DE POSSE";3;2;2;6;1;6;7;5;5;9;6;5;-;3;5;2;3;3;5;5;4;8;7;2;104
"354805 SANTO ANTONIO DO ARACANGUA";-;2;2;-;1;-;1;1;1;1;-;1;1;-;2;-;3;-;1;2;-;-;-;4;23
"354810 SANTO ANTONIO DO JARDIM";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;3;-;9
"354820 SANTO ANTONIO DO PINHAL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;5
"354830 SANTO EXPEDITO";-;1;-;-;-;2;-;1;1;2;2;-;-;-;-;-;1;-;-;2;-;2;2;-;16
"354840 SANTOPOLIS DO AGUAPEI";1;1;-;-;-;1;3;2;-;1;-;1;1;-;1;1;-;1;3;-;2;1;1;-;21
"354850 SANTOS";542;551;531;517;473;506;468;469;434;425;452;401;439;443;421;441;399;436;455;423;374;490;491;474;11055
"354860 SAO BENTO DO SAPUCAI";-;1;1;-;-;3;-;-;2;1;-;-;2;1;-;2;-;2;2;3;1;1;6;1;29
"354870 SAO BERNARDO DO CAMPO";246;226;243;221;240;216;199;216;213;208;208;227;243;215;249;267;279;316;250;253;275;280;313;330;5933
"354880 SAO CAETANO DO SUL";53;49;38;46;38;46;37;33;29;28;27;27;22;31;12;19;22;30;35;26;31;25;43;23;770
"354890 SAO CARLOS";58;69;46;51;60;45;39;54;48;57;71;77;69;53;67;67;55;61;76;45;37;52;68;82;1407
"354900 SAO FRANCISCO";-;-;-;1;-;-;1;1;2;-;-;1;3;1;1;1;2;-;1;-;-;-;-;1;16
"354910 SAO JOAO DA BOA VISTA";14;9;11;8;6;7;11;13;15;9;7;9;12;14;15;9;23;11;12;14;18;23;30;30;330
"354920 SAO JOAO DAS DUAS PONTES";-;-;-;-;-;-;-;-;1;2;-;2;2;1;-;1;-;-;-;1;1;-;-;-;11
"354925 SAO JOAO DE IRACEMA";-;-;-;1;2;-;-;-;3;1;-;-;-;-;-;-;1;1;-;1;-;-;1;-;11
"354930 SAO JOAO DO PAU D'ALHO";-;2;1;-;-;-;-;-;-;-;1;-;-;2;1;-;2;-;1;-;-;-;-;-;10
"354940 SAO JOAQUIM DA BARRA";-;-;-;-;-;9;8;9;7;16;14;13;8;5;9;8;8;8;7;9;9;7;6;12;172
"354950 SAO JOSE DA BELA VISTA";-;-;-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;-;-;-;6
"354960 SAO JOSE DO BARREIRO";1;2;2;2;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;1;13
"354970 SAO JOSE DO RIO PARDO";2;4;6;2;8;6;4;7;9;4;4;5;7;7;4;5;11;6;12;11;8;13;7;15;167
"354980 SAO JOSE DO RIO PRETO";124;106;128;109;103;147;153;174;158;149;202;214;198;204;194;216;136;185;122;138;137;189;211;223;3920
"354990 SAO JOSE DOS CAMPOS";224;212;161;190;184;178;187;179;177;164;176;192;180;170;203;181;208;223;199;179;213;211;216;210;4617
"354995 SAO LOURENCO DA SERRA";1;1;4;-;1;2;1;4;3;3;-;3;6;1;5;7;5;3;1;1;2;4;5;12;75
"355000 SAO LUIS DO PARAITINGA";2;3;-;3;1;-;2;1;2;4;4;-;-;-;-;1;6;1;6;1;1;6;1;5;50
"355010 SAO MANUEL";9;10;10;11;11;10;10;8;15;9;11;14;7;5;1;9;6;4;15;4;9;12;10;14;224
"355020 SAO MIGUEL ARCANJO";3;12;3;6;6;5;4;1;1;4;7;2;4;4;2;10;10;6;5;7;6;7;9;9;133
"355030 SAO PAULO";7426;7708;7381;7154;7233;7388;7174;7388;7259;7326;7601;7118;7397;7732;7958;7505;7530;8462;7887;7233;7404;8454;9376;9738;184832
"355040 SAO PEDRO";11;3;7;5;4;8;3;7;4;7;7;4;6;5;7;2;6;3;12;7;5;14;9;11;157
"355050 SAO PEDRO DO TURVO";1;2;2;-;-;-;1;-;2;2;1;1;1;-;1;1;4;-;3;-;1;1;2;5;31
"355060 SAO ROQUE";21;19;27;24;16;27;13;29;11;16;32;28;17;15;18;16;18;12;13;15;13;16;23;17;456
"355070 SAO SEBASTIAO";40;33;52;47;35;40;49;55;43;46;45;55;78;68;52;48;43;58;56;62;52;56;58;100;1271
"355080 SAO SEBASTIAO DA GRAMA";5;2;3;-;-;1;-;1;1;-;-;2;3;2;1;5;1;1;1;4;1;4;1;4;43
"355090 SAO SIMAO";-;-;1;2;-;2;-;-;1;2;3;1;1;-;-;2;6;-;3;2;2;4;1;1;34
"355100 SAO VICENTE";346;298;358;339;293;348;377;361;367;381;408;388;387;489;510;551;644;576;594;568;557;625;576;521;10862
"355110 SARAPUI";-;-;-;-;-;1;2;-;-;-;-;-;-;1;1;-;1;1;4;-;-;-;1;6;18
"355120 SARUTAIA";3;2;1;3;-;1;2;1;-;1;1;-;1;-;-;1;1;1;6;1;1;-;2;3;32
"355130 SEBASTIANOPOLIS DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;1;-;-;-;-;-;5
"355140 SERRA AZUL";-;-;-;5;2;-;-;1;13;20;14;31;39;28;43;48;30;46;29;30;31;18;38;39;505
"355150 SERRANA";8;11;14;12;4;5;6;7;6;4;6;3;9;4;2;3;11;2;8;18;14;16;20;19;212
"355160 SERRA NEGRA";11;12;7;2;7;5;3;8;4;7;5;4;5;2;2;3;7;2;3;3;3;7;1;2;115
"355170 SERTAOZINHO";19;15;23;31;14;21;23;31;28;28;27;23;33;38;31;39;47;48;68;41;46;50;36;32;792
"355180 SETE BARRAS";10;6;14;12;5;6;3;4;6;3;3;7;3;6;3;4;4;8;10;3;9;7;3;6;145
"355190 SEVERINIA";3;1;3;1;2;2;2;3;5;4;1;3;4;4;3;5;3;4;2;2;2;2;2;3;66
"355200 SILVEIRAS";-;-;-;3;-;-;-;-;-;-;-;-;2;-;-;-;3;-;-;-;-;-;3;-;11
"355210 SOCORRO";3;7;7;6;14;8;14;10;2;8;3;6;4;1;4;6;8;8;3;6;9;5;14;3;159
"355220 SOROCABA";208;244;248;231;240;271;239;229;218;240;261;255;260;245;235;234;228;280;237;205;221;250;351;357;5987
"355230 SUD MENNUCCI";2;1;-;1;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;-;1;1;-;11
"355240 SUMARE";46;40;63;48;59;53;51;60;52;44;47;40;52;49;58;53;70;58;76;66;69;76;72;99;1401
"355250 SUZANO";127;121;109;85;80;87;109;88;94;84;86;125;101;94;106;104;117;104;141;92;116;141;139;152;2602
"355255 SUZANAPOLIS";1;1;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;2;1;1;-;-;-;1;11
"355260 TABAPUA";-;-;-;-;1;6;2;-;-;2;1;3;3;-;3;-;-;-;1;2;2;-;3;2;31
"355270 TABATINGA";7;4;3;3;3;1;6;3;7;4;1;4;2;3;1;3;4;3;-;5;3;1;3;1;75
"355280 TABOAO DA SERRA";102;97;91;80;88;104;69;89;105;90;106;87;107;89;107;95;142;105;138;117;147;149;139;167;2610
"355290 TACIBA";-;2;-;1;3;-;1;3;1;2;-;3;2;-;-;-;-;-;1;-;-;5;4;6;34
"355300 TAGUAI";-;1;2;1;2;-;-;-;-;1;2;2;1;-;-;3;1;3;4;7;1;5;1;1;38
"355310 TAIACU";-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;2;2;1;2;-;-;-;1;11
"355320 TAIUVA";-;3;-;-;-;-;-;-;-;-;-;-;3;-;1;2;3;2;-;1;3;1;10;12;41
"355330 TAMBAU";3;2;6;6;6;3;3;5;5;4;-;1;3;4;1;5;5;2;3;1;1;1;2;3;75
"355340 TANABI";3;3;4;2;5;3;5;5;5;4;4;9;3;5;1;3;5;1;5;8;2;3;8;9;105
"355350 TAPIRAI";-;-;2;1;-;3;2;2;3;3;-;-;1;-;-;1;4;-;1;1;2;3;1;2;32
"355360 TAPIRATIBA";2;1;1;1;1;2;1;2;2;1;1;-;-;1;-;1;-;-;-;2;-;-;1;2;22
"355365 TAQUARAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;2;1;-;9
"355370 TAQUARITINGA";19;14;15;8;8;20;20;16;9;8;9;9;15;16;6;5;12;9;10;7;9;13;24;8;289
"355380 TAQUARITUBA";4;3;4;4;11;2;2;6;2;6;4;4;3;2;19;20;53;31;17;28;27;18;19;17;306
"355385 TAQUARIVAI";1;-;-;2;2;4;1;-;-;4;-;2;1;3;1;-;3;1;-;-;-;1;1;-;27
"355390 TARABAI";-;2;-;1;1;1;1;1;3;-;-;2;1;1;-;2;1;-;-;3;1;3;4;4;32
"355395 TARUMA";-;1;1;1;2;-;1;1;1;1;1;5;1;3;3;6;3;1;5;2;1;4;2;3;49
"355400 TATUI";24;32;32;30;15;31;17;23;24;36;24;26;37;36;16;23;34;33;38;30;33;34;38;55;721
"355410 TAUBATE";96;101;96;90;90;66;102;90;98;122;100;138;115;119;106;134;123;122;115;113;97;105;122;136;2596
"355420 TEJUPA";-;1;-;2;-;-;1;-;-;-;-;1;2;2;-;1;-;1;2;3;2;1;2;-;21
"355430 TEODORO SAMPAIO";5;5;6;2;4;2;9;10;2;3;5;-;3;5;3;1;2;3;6;7;4;3;5;2;97
"355440 TERRA ROXA";1;-;1;1;-;-;2;-;-;1;2;-;1;-;1;2;2;2;-;2;2;1;1;-;22
"355450 TIETE";3;5;5;3;1;8;11;7;4;4;4;7;6;10;6;6;11;4;9;13;10;16;16;3;172
"355460 TIMBURI";-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;2;-;1;-;2;-;-;2;11
"355465 TORRE DE PEDRA";-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;2;-;-;-;-;-;2;-;-;8
"355470 TORRINHA";2;-;-;-;-;2;-;-;-;1;-;-;-;3;1;1;2;-;-;-;-;1;2;1;16
"355475 TRABIJU";-;1;-;1;1;-;1;-;1;-;-;1;-;-;-;-;1;1;1;-;-;3;1;-;13
"355480 TREMEMBE";5;10;8;9;2;48;67;49;55;45;54;36;49;47;64;99;117;79;83;88;78;98;99;85;1374
"355490 TRES FRONTEIRAS";1;-;-;-;-;1;3;1;-;1;1;1;1;1;-;1;1;-;1;-;1;-;2;-;17
"355495 TUIUTI";-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;1;-;1;-;-;-;2;-;8
"355500 TUPA";36;30;32;25;12;30;43;29;33;26;23;27;25;29;24;24;18;9;12;13;11;19;13;17;560
"355510 TUPI PAULISTA";4;4;5;2;9;8;12;9;16;12;13;9;40;32;28;40;80;78;38;36;23;27;37;27;589
"355520 TURIUBA";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 TURMALINA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;1;1;-;6
"355535 UBARANA";1;-;-;-;-;-;2;-;1;3;3;-;2;1;2;2;1;2;2;-;-;-;-;-;22
"355540 UBATUBA";43;25;37;39;35;44;53;39;40;35;36;41;38;52;43;33;38;48;54;60;75;109;87;83;1187
"355550 UBIRAJARA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;2;-;-;1;-;7
"355560 UCHOA";-;1;1;1;-;-;3;2;-;-;1;3;1;-;3;3;2;2;3;2;1;3;2;5;39
"355570 UNIAO PAULISTA";-;-;-;-;-;-;-;-;-;1;2;1;1;-;-;-;1;-;-;-;-;-;-;-;6
"355580 URANIA";1;1;3;1;-;-;-;1;3;2;-;-;2;5;3;5;4;1;4;3;-;2;4;1;46
"355590 URU";-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;6
"355600 URUPES";1;-;1;1;-;-;1;1;1;-;1;-;1;-;-;-;2;-;3;2;-;3;-;1;19
"355610 VALENTIM GENTIL";1;-;-;-;1;1;4;-;-;2;-;-;-;-;-;-;3;-;1;2;1;3;2;3;24
"355620 VALINHOS";20;16;13;18;19;13;13;14;17;11;14;18;16;20;8;9;8;17;14;8;18;22;22;20;368
"355630 VALPARAISO";4;6;4;3;11;40;32;38;42;35;41;37;21;43;28;51;95;51;50;38;49;37;39;29;824
"355635 VARGEM";2;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;2;-;1;-;2;2;1;14
"355640 VARGEM GRANDE DO SUL";7;6;8;13;5;6;16;8;10;6;6;12;5;4;5;5;8;4;8;4;9;4;4;8;171
"355645 VARGEM GRANDE PAULISTA";24;18;11;19;22;17;8;3;6;4;8;10;24;15;9;11;14;9;19;12;10;13;21;31;338
"355650 VARZEA PAULISTA";18;16;28;21;16;32;19;18;22;30;26;31;29;25;21;22;45;32;27;23;37;27;48;37;650
"355660 VERA CRUZ";-;1;6;1;2;4;1;-;2;-;3;1;3;6;2;3;4;2;2;2;2;3;1;4;55
"355670 VINHEDO";2;9;9;4;7;7;10;17;3;8;11;9;14;10;8;11;10;12;31;30;29;19;16;25;311
"355680 VIRADOURO";2;1;-;1;-;1;3;5;5;-;1;-;3;1;-;1;6;5;5;4;3;4;5;4;60
"355690 VISTA ALEGRE DO ALTO";2;-;1;1;-;2;-;-;-;1;1;2;-;1;-;-;3;-;-;-;3;1;-;-;18
"355695 VITORIA BRASIL";-;-;1;-;1;1;2;-;-;1;2;-;-;-;1;1;-;-;-;1;-;1;1;-;13
"355700 VOTORANTIM";26;43;36;37;36;37;28;35;41;34;36;35;48;21;28;42;38;43;36;33;50;48;63;57;931
"355710 VOTUPORANGA";26;20;32;26;18;20;33;23;24;32;23;24;21;13;17;25;10;24;25;24;22;20;25;29;556
"355715 ZACARIAS";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;6
"355720 CHAVANTES";4;3;3;6;5;6;7;4;2;3;1;3;2;-;2;2;2;2;2;-;1;2;3;2;67
"355730 ESTIVA GERBI";1;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;3;1;-;1;-;3;14
"Total";19129;19026;18371;17583;17520;18038;17602;18417;17794;18169;19038;18627;19472;19978;20331;20527;21860;22445;21787;19541;20030;22984;24955;25812;479036
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
